# S0B for NGC data 
# k1-eff  k2-eff  k3-eff S_0B(k1-eff,k2-eff,k3-eff)  S_0B
1.525999999999999926e-02 5.009299999999999864e-02 6.505900000000000571e-02 6.773948481211226463e+09 4.406788667664088249e+09
1.525999999999999926e-02 5.009299999999999864e-02 7.005400000000000515e-02 6.624843215810046196e+09 4.406788667664088249e+09
1.525999999999999926e-02 5.507800000000000196e-02 5.507800000000000196e-02 7.044873561306943893e+09 4.406788667664088249e+09
1.525999999999999926e-02 5.507800000000000196e-02 6.006700000000000234e-02 6.792604304717763901e+09 4.406788667664088249e+09
1.525999999999999926e-02 5.507800000000000196e-02 6.505900000000000571e-02 6.760509820286696434e+09 4.406788667664088249e+09
1.525999999999999926e-02 5.507800000000000196e-02 7.005400000000000515e-02 6.611404554885516167e+09 4.406788667664088249e+09
1.525999999999999926e-02 5.507800000000000196e-02 7.505299999999999472e-02 6.571973466822130203e+09 4.406788667664088249e+09
1.525999999999999926e-02 6.006700000000000234e-02 6.006700000000000234e-02 6.540335048128584862e+09 4.406788667664088249e+09
1.525999999999999926e-02 6.006700000000000234e-02 6.505900000000000571e-02 6.508240563697516441e+09 4.406788667664088249e+09
1.525999999999999926e-02 6.006700000000000234e-02 7.005400000000000515e-02 6.359135298296337128e+09 4.406788667664088249e+09
1.525999999999999926e-02 6.006700000000000234e-02 7.505299999999999472e-02 6.319704210232951164e+09 4.406788667664088249e+09
1.525999999999999926e-02 6.006700000000000234e-02 8.005400000000000016e-02 6.215430599983702660e+09 4.406788667664088249e+09
1.525999999999999926e-02 6.505900000000000571e-02 6.505900000000000571e-02 6.476146079266448021e+09 4.406788667664088249e+09
1.525999999999999926e-02 6.505900000000000571e-02 7.005400000000000515e-02 6.327040813865268707e+09 4.406788667664088249e+09
1.525999999999999926e-02 6.505900000000000571e-02 7.505299999999999472e-02 6.287609725801882744e+09 4.406788667664088249e+09
1.525999999999999926e-02 6.505900000000000571e-02 8.005400000000000016e-02 6.183336115552634239e+09 4.406788667664088249e+09
1.525999999999999926e-02 7.005400000000000515e-02 7.005400000000000515e-02 6.177935548464088440e+09 4.406788667664088249e+09
1.525999999999999926e-02 7.005400000000000515e-02 7.505299999999999472e-02 6.138504460400702477e+09 4.406788667664088249e+09
1.525999999999999926e-02 7.005400000000000515e-02 8.005400000000000016e-02 6.034230850151454926e+09 4.406788667664088249e+09
1.525999999999999926e-02 7.505299999999999472e-02 7.505299999999999472e-02 6.099073372337316513e+09 4.406788667664088249e+09
1.525999999999999926e-02 7.505299999999999472e-02 8.005400000000000016e-02 5.994799762088068962e+09 4.406788667664088249e+09
1.525999999999999926e-02 8.005400000000000016e-02 8.005400000000000016e-02 5.890526151838820457e+09 4.406788667664088249e+09
2.019699999999999968e-02 2.019699999999999968e-02 2.019699999999999968e-02 1.077826527661120987e+10 4.406788667664088249e+09
2.019699999999999968e-02 2.019699999999999968e-02 2.516699999999999840e-02 1.046949794640437889e+10 4.406788667664088249e+09
2.019699999999999968e-02 2.019699999999999968e-02 3.013700000000000059e-02 1.000756756780526543e+10 4.406788667664088249e+09
2.019699999999999968e-02 2.019699999999999968e-02 3.511100000000000332e-02 9.741843031898611069e+09 4.406788667664088249e+09
2.019699999999999968e-02 2.019699999999999968e-02 4.009599999999999970e-02 9.377584170686456680e+09 4.406788667664088249e+09
