# Tk at z_eff=1.7584 (p=1.6, NGC) raw output of classy 
#  dict_keys(['k (h/Mpc)', 'd_g', 'd_b', 'd_cdm', 'd_ur', 'd_ncdm[0]', 'd_tot', 'phi', 'psi'])
9.844944571560064472e-02 -9.514839256358278985e-02 -5.124184200165716902e+03 -5.196433770337936039e+03 -9.180237682556449674e-02 -1.598052939220151245e+02 -5.158655630214466328e+03 7.627391048969395237e-02 7.627391045321331442e-02
1.019068621252263857e-01 -9.087966168837481595e-02 -5.242823157466008524e+03 -5.318400655662066129e+03 -8.768371865835784817e-02 -1.535437519165292031e+02 -5.279433772186362148e+03 7.285284396788362093e-02 7.285284393518347279e-02
1.054518826547446858e-01 -8.711879636886057932e-02 -5.382286668426124379e+03 -5.459155917797278562e+03 -8.405505519941540438e-02 -1.480063344904104667e+02 -5.419225778166750388e+03 6.983844935839492174e-02 6.983844932896816904e-02
1.090912221330706533e-01 -8.384151563106817528e-02 -5.546249194184521002e+03 -5.622229960529273740e+03 -8.089296163225262459e-02 -1.431978614877021130e+02 -5.581566300988727562e+03 6.721132982535328593e-02 6.721132979876043301e-02
1.128313855953949896e-01 -8.098102732525133685e-02 -5.735246379188774881e+03 -5.808322330838122070e+03 -7.813299757497843556e-02 -1.390184469654605266e+02 -5.767124998578667146e+03 6.491806000407042421e-02 6.491805997994529176e-02
1.166787279874305638e-01 -7.843285596401308735e-02 -5.945973990357915682e+03 -6.014637478884548727e+03 -7.567436748120444368e-02 -1.352936372042114215e+02 -5.973040106300752086e+03 6.287501000741933799e-02 6.287500998547136677e-02
1.206394989759898007e-01 -7.606554170486182209e-02 -6.171060979929874520e+03 -6.234643096565087944e+03 -7.339024043168571043e-02 -1.318014890946912203e+02 -6.192680476244569945e+03 6.097694017212866580e-02 6.097694015213449281e-02
1.247198766315051471e-01 -7.373770636622585528e-02 -6.399595659217318826e+03 -6.458511748249129596e+03 -7.114421633501599729e-02 -1.283074220853334282e+02 -6.416098359378059286e+03 5.911064118311566001e-02 5.911064116490984122e-02
1.289259927523367377e-01 -7.131957364903911134e-02 -6.618549504800814248e+03 -6.674388267967625325e+03 -6.881108800592501684e-02 -1.245930738057795395e+02 -6.631314920651300781e+03 5.717217103696832503e-02 5.717217102042883997e-02
1.332639519395265038e-01 -6.871622304645785828e-02 -6.815131962853233745e+03 -6.870521368665375121e+03 -6.629927577715892528e-02 -1.204958915049488155e+02 -6.826476008422189807e+03 5.508548649822561649e-02 5.508548648325807540e-02
