# Bispectrum RIC correction for sample NGC and SN subtraction False 
#  k1_eff k2_eff k3_eff Wk_ric
1.525999999999999926e-02 2.019699999999999968e-02 3.013700000000000059e-02 -1.760924484342405241e-03
1.525999999999999926e-02 2.019699999999999968e-02 3.511100000000000332e-02 -9.812916790061208816e-04
1.525999999999999926e-02 2.019699999999999968e-02 4.009599999999999970e-02 -8.576442255861403338e-03
1.525999999999999926e-02 2.516699999999999840e-02 2.516699999999999840e-02 2.389296073640103952e-03
1.525999999999999926e-02 2.516699999999999840e-02 3.013700000000000059e-02 -5.074290472775829300e-03
1.525999999999999926e-02 2.516699999999999840e-02 3.511100000000000332e-02 8.257825590747074410e-03
1.525999999999999926e-02 2.516699999999999840e-02 4.009599999999999970e-02 -6.907723434115067840e-03
1.525999999999999926e-02 2.516699999999999840e-02 4.509300000000000114e-02 -6.675219117571093951e-03
1.525999999999999926e-02 3.013700000000000059e-02 3.013700000000000059e-02 -9.240814558954084379e-03
1.525999999999999926e-02 3.013700000000000059e-02 3.511100000000000332e-02 4.112842985624246515e-03
1.525999999999999926e-02 3.013700000000000059e-02 4.009599999999999970e-02 5.269172304035242864e-04
1.525999999999999926e-02 3.013700000000000059e-02 4.509300000000000114e-02 -1.601639863824832598e-03
1.525999999999999926e-02 3.013700000000000059e-02 5.009299999999999864e-02 1.157807001957864533e-02
1.525999999999999926e-02 3.511100000000000332e-02 3.511100000000000332e-02 8.183015934414189551e-04
1.525999999999999926e-02 3.511100000000000332e-02 4.009599999999999970e-02 -3.398489328984787960e-03
1.525999999999999926e-02 3.511100000000000332e-02 4.509300000000000114e-02 1.213454074582843902e-03
1.525999999999999926e-02 3.511100000000000332e-02 5.009299999999999864e-02 2.369131348477508583e-03
1.525999999999999926e-02 3.511100000000000332e-02 5.507800000000000196e-02 1.248546559834365832e-03
1.525999999999999926e-02 4.009599999999999970e-02 4.009599999999999970e-02 -2.163466999410526461e-04
1.525999999999999926e-02 4.009599999999999970e-02 4.509300000000000114e-02 -5.686313073269068678e-04
1.525999999999999926e-02 4.009599999999999970e-02 5.009299999999999864e-02 2.754158911841842090e-03
1.525999999999999926e-02 4.009599999999999970e-02 5.507800000000000196e-02 -5.483950919486918485e-03
1.525999999999999926e-02 4.009599999999999970e-02 6.006700000000000234e-02 5.857585324661434244e-03
1.525999999999999926e-02 4.509300000000000114e-02 4.509300000000000114e-02 -1.573859842694766116e-03
1.525999999999999926e-02 4.509300000000000114e-02 5.009299999999999864e-02 -3.043165112452168256e-03
1.525999999999999926e-02 4.509300000000000114e-02 5.507800000000000196e-02 -3.126163842717708495e-03
1.525999999999999926e-02 4.509300000000000114e-02 6.006700000000000234e-02 -5.278858567686017973e-03
1.525999999999999926e-02 4.509300000000000114e-02 6.505900000000000571e-02 -5.176302225156775849e-03
1.525999999999999926e-02 5.009299999999999864e-02 5.009299999999999864e-02 -9.661462833694851871e-04
1.525999999999999926e-02 5.009299999999999864e-02 5.507800000000000196e-02 -7.858818009396928168e-04
1.525999999999999926e-02 5.009299999999999864e-02 6.006700000000000234e-02 -4.035230848432627866e-03
1.525999999999999926e-02 5.009299999999999864e-02 6.505900000000000571e-02 -5.101083438467563652e-03
1.525999999999999926e-02 5.009299999999999864e-02 7.005400000000000515e-02 -3.713514684011662206e-03
1.525999999999999926e-02 5.507800000000000196e-02 5.507800000000000196e-02 -4.455288270354371659e-03
1.525999999999999926e-02 5.507800000000000196e-02 6.006700000000000234e-02 -1.118829709118589590e-03
1.525999999999999926e-02 5.507800000000000196e-02 6.505900000000000571e-02 -3.105170477942137668e-03
1.525999999999999926e-02 5.507800000000000196e-02 7.005400000000000515e-02 -4.257500691569272334e-03
1.525999999999999926e-02 5.507800000000000196e-02 7.505299999999999472e-02 9.267319678789607629e-04
1.525999999999999926e-02 6.006700000000000234e-02 6.006700000000000234e-02 -2.375265709900383805e-03
1.525999999999999926e-02 6.006700000000000234e-02 6.505900000000000571e-02 9.814254463294030863e-04
1.525999999999999926e-02 6.006700000000000234e-02 7.005400000000000515e-02 -2.897737681759830503e-03
1.525999999999999926e-02 6.006700000000000234e-02 7.505299999999999472e-02 -3.869883740049506228e-03
1.525999999999999926e-02 6.006700000000000234e-02 8.005400000000000016e-02 -1.174089931823575888e-03
1.525999999999999926e-02 6.505900000000000571e-02 6.505900000000000571e-02 -8.621234745026415099e-04
1.525999999999999926e-02 6.505900000000000571e-02 7.005400000000000515e-02 -3.276505508845721937e-03
1.525999999999999926e-02 6.505900000000000571e-02 7.505299999999999472e-02 -1.325618997933515533e-03
1.525999999999999926e-02 6.505900000000000571e-02 8.005400000000000016e-02 -3.458701724092252093e-03
1.525999999999999926e-02 7.005400000000000515e-02 7.005400000000000515e-02 -3.385679773410030843e-03
