# Bispectrum RIC correction for sample NGC and SN subtraction True 
#  k1_eff k2_eff k3_eff Wk_ric
2.019699999999999968e-02 8.005400000000000016e-02 8.005400000000000016e-02 -2.648389514486333435e-03
2.516699999999999840e-02 2.516699999999999840e-02 2.516699999999999840e-02 5.714062335368397770e-03
2.516699999999999840e-02 2.516699999999999840e-02 3.013700000000000059e-02 -4.473831700064539920e-04
2.516699999999999840e-02 2.516699999999999840e-02 3.511100000000000332e-02 8.708555347206700659e-03
2.516699999999999840e-02 2.516699999999999840e-02 4.009599999999999970e-02 6.920208429275956754e-04
2.516699999999999840e-02 2.516699999999999840e-02 4.509300000000000114e-02 2.402396766201317022e-03
2.516699999999999840e-02 2.516699999999999840e-02 5.009299999999999864e-02 -5.991317049284839574e-03
2.516699999999999840e-02 2.516699999999999840e-02 5.507800000000000196e-02 2.335456277163770397e-02
2.516699999999999840e-02 3.013700000000000059e-02 3.013700000000000059e-02 -5.128776082167131210e-04
2.516699999999999840e-02 3.013700000000000059e-02 3.511100000000000332e-02 6.248409555508235673e-03
2.516699999999999840e-02 3.013700000000000059e-02 4.009599999999999970e-02 1.039085083581401704e-02
2.516699999999999840e-02 3.013700000000000059e-02 4.509300000000000114e-02 1.610589770641890957e-03
2.516699999999999840e-02 3.013700000000000059e-02 5.009299999999999864e-02 1.963876666035623171e-03
2.516699999999999840e-02 3.013700000000000059e-02 5.507800000000000196e-02 1.188994758934554599e-02
2.516699999999999840e-02 3.013700000000000059e-02 6.006700000000000234e-02 -2.509047222865425694e-03
2.516699999999999840e-02 3.511100000000000332e-02 3.511100000000000332e-02 -1.898211120318216670e-03
2.516699999999999840e-02 3.511100000000000332e-02 4.009599999999999970e-02 8.979276765259161172e-03
2.516699999999999840e-02 3.511100000000000332e-02 4.509300000000000114e-02 7.697981424992233687e-03
2.516699999999999840e-02 3.511100000000000332e-02 5.009299999999999864e-02 1.231288038467881658e-02
2.516699999999999840e-02 3.511100000000000332e-02 5.507800000000000196e-02 7.261926294572305061e-03
2.516699999999999840e-02 3.511100000000000332e-02 6.006700000000000234e-02 1.224781470590927861e-03
2.516699999999999840e-02 3.511100000000000332e-02 6.505900000000000571e-02 -2.265692550712762945e-02
2.516699999999999840e-02 4.009599999999999970e-02 4.009599999999999970e-02 1.629516268888600225e-02
2.516699999999999840e-02 4.009599999999999970e-02 4.509300000000000114e-02 8.890947262805464629e-03
2.516699999999999840e-02 4.009599999999999970e-02 5.009299999999999864e-02 9.217457323267773742e-03
2.516699999999999840e-02 4.009599999999999970e-02 5.507800000000000196e-02 1.760333744376569058e-03
2.516699999999999840e-02 4.009599999999999970e-02 6.006700000000000234e-02 7.431231999047657050e-03
2.516699999999999840e-02 4.009599999999999970e-02 6.505900000000000571e-02 5.141186582928157847e-03
2.516699999999999840e-02 4.009599999999999970e-02 7.005400000000000515e-02 -1.954907328536467214e-03
2.516699999999999840e-02 4.509300000000000114e-02 4.509300000000000114e-02 1.419227635754402236e-02
2.516699999999999840e-02 4.509300000000000114e-02 5.009299999999999864e-02 6.538592731862285373e-03
2.516699999999999840e-02 4.509300000000000114e-02 5.507800000000000196e-02 -5.282846473927364263e-03
2.516699999999999840e-02 4.509300000000000114e-02 6.006700000000000234e-02 6.247641742564724945e-03
2.516699999999999840e-02 4.509300000000000114e-02 6.505900000000000571e-02 4.652337371875345934e-03
2.516699999999999840e-02 4.509300000000000114e-02 7.005400000000000515e-02 -2.149976981137678863e-04
2.516699999999999840e-02 4.509300000000000114e-02 7.505299999999999472e-02 3.094753843681488301e-02
2.516699999999999840e-02 5.009299999999999864e-02 5.009299999999999864e-02 6.503170293500567557e-03
2.516699999999999840e-02 5.009299999999999864e-02 5.507800000000000196e-02 6.544853557381976293e-03
2.516699999999999840e-02 5.009299999999999864e-02 6.006700000000000234e-02 2.486674638922345935e-03
2.516699999999999840e-02 5.009299999999999864e-02 6.505900000000000571e-02 5.373810611371193820e-03
2.516699999999999840e-02 5.009299999999999864e-02 7.005400000000000515e-02 2.019036305641112774e-03
2.516699999999999840e-02 5.009299999999999864e-02 7.505299999999999472e-02 3.551125784684471508e-03
2.516699999999999840e-02 5.009299999999999864e-02 8.005400000000000016e-02 3.708975734064487786e-03
2.516699999999999840e-02 5.507800000000000196e-02 5.507800000000000196e-02 -2.676732311550047722e-03
2.516699999999999840e-02 5.507800000000000196e-02 6.006700000000000234e-02 6.431139772682487000e-04
2.516699999999999840e-02 5.507800000000000196e-02 6.505900000000000571e-02 -3.464602125775409838e-03
2.516699999999999840e-02 5.507800000000000196e-02 7.005400000000000515e-02 8.535237390098937733e-04
2.516699999999999840e-02 5.507800000000000196e-02 7.505299999999999472e-02 3.697560960315244769e-03
2.516699999999999840e-02 5.507800000000000196e-02 8.005400000000000016e-02 8.680255963448860407e-04
2.516699999999999840e-02 6.006700000000000234e-02 6.006700000000000234e-02 6.526432225809831317e-03
2.516699999999999840e-02 6.006700000000000234e-02 6.505900000000000571e-02 1.125230080150589466e-04
2.516699999999999840e-02 6.006700000000000234e-02 7.005400000000000515e-02 7.674656152393862472e-03
2.516699999999999840e-02 6.006700000000000234e-02 7.505299999999999472e-02 9.221151857095113979e-03
2.516699999999999840e-02 6.006700000000000234e-02 8.005400000000000016e-02 1.746110008008854150e-03
2.516699999999999840e-02 6.505900000000000571e-02 6.505900000000000571e-02 2.149464567242616395e-03
2.516699999999999840e-02 6.505900000000000571e-02 7.005400000000000515e-02 3.320246891353460014e-03
2.516699999999999840e-02 6.505900000000000571e-02 7.505299999999999472e-02 2.528822278321081907e-03
2.516699999999999840e-02 6.505900000000000571e-02 8.005400000000000016e-02 4.656984911091358037e-03
2.516699999999999840e-02 7.005400000000000515e-02 7.005400000000000515e-02 -5.444803920791793303e-03
2.516699999999999840e-02 7.005400000000000515e-02 7.505299999999999472e-02 6.272202930701397186e-03
