# Bispectrum monopole for SGC EZmock_shuffled
# Subtracted SN: kindep
# k1-eff  k2-eff  k3-eff  B0  B0-BSN  Std_dev  Std_dev(-BSN)
1.042599999999999950e-02 5.008300000000000252e-02 5.508300000000000002e-02 1.248609721373720932e+10 6.887516805339149475e+09 3.749980122642530918e+09 3.748633661682672501e+09
1.042599999999999950e-02 5.008300000000000252e-02 6.007599999999999746e-02 1.267762502803630257e+10 7.079044619638266563e+09 4.123448375752976894e+09 4.122854789403225899e+09
1.042599999999999950e-02 5.008300000000000252e-02 6.506599999999999884e-02 1.302763705292888832e+10 7.429056644530845642e+09 9.465893359799045563e+09 9.465148684262702942e+09
1.042599999999999950e-02 5.508300000000000002e-02 5.508300000000000002e-02 1.195781953991422653e+10 6.359239131516198158e+09 4.425687212035579681e+09 4.425580074356618881e+09
1.042599999999999950e-02 5.508300000000000002e-02 6.007599999999999746e-02 1.199120931142432594e+10 6.392628903026285172e+09 3.573558007691385269e+09 3.572873025204962730e+09
1.042599999999999950e-02 5.508300000000000002e-02 6.506599999999999884e-02 1.224126384405001068e+10 6.642683435651953697e+09 4.014076160483993530e+09 4.012597763855081558e+09
1.042599999999999950e-02 5.508300000000000002e-02 7.006400000000000128e-02 1.222894070050236893e+10 6.630360292104322433e+09 8.581046000936296463e+09 8.581594221549680710e+09
1.042599999999999950e-02 6.007599999999999746e-02 6.007599999999999746e-02 1.182879456966869736e+10 6.230214161270666122e+09 4.321368196860971451e+09 4.320798882489138603e+09
1.042599999999999950e-02 6.007599999999999746e-02 6.506599999999999884e-02 1.179632748854376984e+10 6.197747080145743370e+09 3.389098261106326103e+09 3.388557556247213840e+09
1.042599999999999950e-02 6.007599999999999746e-02 7.006400000000000128e-02 1.217984078546689034e+10 6.581260377068858147e+09 3.666976153524223804e+09 3.665839408873014450e+09
1.042599999999999950e-02 6.007599999999999746e-02 7.506100000000000272e-02 1.253095309456731606e+10 6.932372686169269562e+09 8.130944160886981010e+09 8.130881765058600426e+09
1.042599999999999950e-02 6.506599999999999884e-02 6.506599999999999884e-02 1.159460596105941963e+10 5.996025552661372185e+09 3.942325233962192535e+09 3.943074219660615921e+09
1.042599999999999950e-02 6.506599999999999884e-02 7.006400000000000128e-02 1.159332207258041191e+10 5.994741664182373047e+09 3.197225318548832893e+09 3.196185288852114677e+09
1.042599999999999950e-02 6.506599999999999884e-02 7.506100000000000272e-02 1.205123491956282425e+10 6.452654511164801598e+09 3.475338880624993324e+09 3.476061114998629093e+09
1.042599999999999950e-02 6.506599999999999884e-02 8.005600000000000216e-02 1.205725483019664192e+10 6.458674421798590660e+09 7.443802107065942764e+09 7.443629800231090546e+09
1.042599999999999950e-02 7.006400000000000128e-02 7.006400000000000128e-02 1.153185507119128990e+10 5.933274662793252945e+09 3.711973102031141758e+09 3.710803606681652069e+09
1.042599999999999950e-02 7.006400000000000128e-02 7.506100000000000272e-02 1.139675924540254402e+10 5.798178837004504204e+09 2.976914457898090839e+09 2.976574704429692268e+09
1.042599999999999950e-02 7.006400000000000128e-02 8.005600000000000216e-02 1.182084514757118607e+10 6.222264739173138618e+09 3.130497342281989098e+09 3.130291122501699448e+09
1.042599999999999950e-02 7.506100000000000272e-02 7.506100000000000272e-02 1.111433812983699226e+10 5.515757721438941956e+09 3.416950042226951599e+09 3.416640070913218975e+09
1.042599999999999950e-02 7.506100000000000272e-02 8.005600000000000216e-02 1.109013168884490967e+10 5.491551280446862221e+09 2.844941763136704922e+09 2.843795028972865582e+09
1.042599999999999950e-02 8.005600000000000216e-02 8.005600000000000216e-02 1.073588682970539665e+10 5.137306421307351112e+09 3.258145820862526417e+09 3.256893634832767487e+09
1.528299999999999971e-02 1.528299999999999971e-02 1.528299999999999971e-02 1.672265587007610703e+10 1.112407546167806625e+10 2.552593233904111862e+10 2.552597643081817245e+10
1.528299999999999971e-02 1.528299999999999971e-02 2.021500000000000033e-02 1.643618404648572731e+10 1.083760363808769226e+10 1.370651152879844093e+10 1.370533973406587219e+10
1.528299999999999971e-02 1.528299999999999971e-02 2.516799999999999940e-02 1.735558528767655563e+10 1.175700487927849197e+10 1.189988040136506271e+10 1.189862577007353210e+10
1.528299999999999971e-02 1.528299999999999971e-02 3.012099999999999847e-02 1.760735832557045746e+10 1.200877791717239380e+10 1.474889424961258507e+10 1.474871058363197708e+10
1.528299999999999971e-02 1.528299999999999971e-02 3.511199999999999738e-02 1.769158671770184708e+10 1.209300630930380440e+10 3.325390839257082367e+10 3.325320717616315842e+10
1.528299999999999971e-02 2.021500000000000033e-02 2.021500000000000033e-02 1.622551260003981972e+10 1.062693219164176178e+10 1.176669827889647865e+10 1.176552125613115883e+10
1.528299999999999971e-02 2.021500000000000033e-02 2.516799999999999940e-02 1.653839901728571320e+10 1.093981860888766861e+10 7.306722395757754326e+09 7.306776219473937988e+09
1.528299999999999971e-02 2.021500000000000033e-02 3.012099999999999847e-02 1.680541869820381355e+10 1.120683828980577850e+10 7.015152806779688835e+09 7.016231280274950027e+09
1.528299999999999971e-02 2.021500000000000033e-02 3.511199999999999738e-02 1.719343649156695557e+10 1.159485608316892433e+10 8.397358611947785378e+09 8.396495485180954933e+09
1.528299999999999971e-02 2.021500000000000033e-02 4.010899999999999882e-02 1.722014116520532608e+10 1.162156075680728340e+10 1.786076839382809830e+10 1.786123244509401703e+10
1.528299999999999971e-02 2.516799999999999940e-02 2.516799999999999940e-02 1.596745192163128281e+10 1.036887151323324585e+10 8.628588583074121475e+09 8.629007616415285110e+09
1.528299999999999971e-02 2.516799999999999940e-02 3.012099999999999847e-02 1.554140638171233749e+10 9.942825973314334869e+09 5.623458033202562332e+09 5.624407972926624298e+09
1.528299999999999971e-02 2.516799999999999940e-02 3.511199999999999738e-02 1.567279235086109352e+10 1.007421194246302986e+10 5.367133093507833481e+09 5.366485416910493851e+09
1.528299999999999971e-02 2.516799999999999940e-02 4.010899999999999882e-02 1.614767073443089867e+10 1.054909032603289413e+10 6.338958090400182724e+09 6.337722470085634232e+09
1.528299999999999971e-02 2.516799999999999940e-02 4.509300000000000114e-02 1.661255110528746223e+10 1.101397069688942719e+10 1.528250689562262154e+10 1.528348649329813766e+10
1.528299999999999971e-02 3.012099999999999847e-02 3.012099999999999847e-02 1.519670306794886017e+10 9.598122659550836563e+09 6.606263203753759384e+09 6.606424791436475754e+09
