# Bispectrum monopole for SGC EZmock_realistic
# Subtracted SN: kindep
# k1-eff  k2-eff  k3-eff  B0  B0-BSN  Std_dev  Std_dev(-BSN)
5.785000000000000211e-03 2.516799999999999940e-02 2.516799999999999940e-02 1.929488794430042648e+10 1.348428408196712112e+10 1.866295094793110275e+10 1.866199132661536026e+10
5.785000000000000211e-03 2.516799999999999940e-02 3.012099999999999847e-02 1.922578571950291824e+10 1.341518185716963959e+10 1.538139897798594475e+10 1.538057789136532211e+10
5.785000000000000211e-03 2.516799999999999940e-02 3.511199999999999738e-02 1.696179960653382111e+10 1.115119574420055771e+10 2.476506004870847321e+10 2.476440632388992691e+10
5.785000000000000211e-03 3.012099999999999847e-02 3.012099999999999847e-02 1.895469775745164490e+10 1.314409389511835480e+10 1.672421273196546555e+10 1.672310608022942162e+10
5.785000000000000211e-03 3.012099999999999847e-02 3.511199999999999738e-02 1.857274031438330078e+10 1.276213645204999161e+10 1.361049508406347466e+10 1.361006120817370605e+10
5.785000000000000211e-03 3.012099999999999847e-02 4.010899999999999882e-02 1.542700431960148239e+10 9.616400457268198013e+09 2.082482594860308075e+10 2.082383372981050491e+10
5.785000000000000211e-03 3.511199999999999738e-02 3.511199999999999738e-02 1.757111367058976364e+10 1.176050980825646591e+10 1.539057567140811539e+10 1.539001978016352463e+10
5.785000000000000211e-03 3.511199999999999738e-02 4.010899999999999882e-02 1.746721894154794312e+10 1.165661507921466446e+10 1.223490148948403740e+10 1.223454356662395859e+10
5.785000000000000211e-03 3.511199999999999738e-02 4.509300000000000114e-02 1.518917199701961517e+10 9.378568134686361313e+09 1.845594893354231262e+10 1.845604752081616974e+10
5.785000000000000211e-03 4.010899999999999882e-02 4.010899999999999882e-02 1.664076298309881020e+10 1.083015912076551819e+10 1.426089859309236145e+10 1.426063094667304039e+10
5.785000000000000211e-03 4.010899999999999882e-02 4.509300000000000114e-02 1.708108371703078651e+10 1.127047985469752121e+10 1.123351036426401520e+10 1.123347760760185814e+10
5.785000000000000211e-03 4.010899999999999882e-02 5.008300000000000252e-02 1.385392570172160530e+10 8.043321839388326645e+09 1.642124807187586021e+10 1.642182735522057533e+10
5.785000000000000211e-03 4.509300000000000114e-02 4.509300000000000114e-02 1.613001383029741669e+10 1.031940996796412849e+10 1.311028827750033569e+10 1.310982432359109879e+10
5.785000000000000211e-03 4.509300000000000114e-02 5.008300000000000252e-02 1.646088352175034904e+10 1.065027965941706657e+10 1.061422521189092827e+10 1.061368646811168480e+10
5.785000000000000211e-03 4.509300000000000114e-02 5.508300000000000002e-02 1.302307960433670616e+10 7.212475742003441811e+09 1.432480418381933403e+10 1.432435086731904030e+10
5.785000000000000211e-03 5.008300000000000252e-02 5.008300000000000252e-02 1.578540190973756599e+10 9.974798047404270172e+09 1.244229007231906319e+10 1.244157925535684967e+10
5.785000000000000211e-03 5.008300000000000252e-02 5.508300000000000002e-02 1.569392304739194679e+10 9.883319185058668137e+09 1.032397855013559341e+10 1.032328720159259224e+10
5.785000000000000211e-03 5.008300000000000252e-02 6.007599999999999746e-02 1.250090364333320999e+10 6.690299780999946594e+09 1.452068481331993866e+10 1.452159452516616440e+10
5.785000000000000211e-03 5.508300000000000002e-02 5.508300000000000002e-02 1.507895066520705605e+10 9.268346802873788834e+09 1.236721400232131386e+10 1.236640669859429359e+10
5.785000000000000211e-03 5.508300000000000002e-02 6.007599999999999746e-02 1.551557692032520294e+10 9.704973057991893768e+09 9.887262901518455505e+09 9.886705058520677567e+09
5.785000000000000211e-03 5.508300000000000002e-02 6.506599999999999884e-02 1.310600578575378609e+10 7.295401923420511246e+09 1.269617538976195335e+10 1.269591272569313240e+10
5.785000000000000211e-03 6.007599999999999746e-02 6.007599999999999746e-02 1.506071563881955147e+10 9.250111776486272812e+09 1.172998322050578690e+10 1.172997619200897598e+10
5.785000000000000211e-03 6.007599999999999746e-02 6.506599999999999884e-02 1.536597658514104080e+10 9.555372722807775497e+09 9.707809591635179520e+09 9.707159509190172195e+09
5.785000000000000211e-03 6.007599999999999746e-02 7.006400000000000128e-02 1.278858340483127594e+10 6.977979542498004913e+09 1.179432858155860519e+10 1.179473689059311676e+10
5.785000000000000211e-03 6.506599999999999884e-02 6.506599999999999884e-02 1.478878868447564507e+10 8.978184822142354965e+09 1.177425707213195610e+10 1.177316020837288284e+10
5.785000000000000211e-03 6.506599999999999884e-02 7.006400000000000128e-02 1.506328788436867523e+10 9.252684022035396576e+09 9.771660005545913696e+09 9.770998015905614853e+09
5.785000000000000211e-03 6.506599999999999884e-02 7.506100000000000272e-02 1.236402349939813423e+10 6.553419637064850807e+09 1.131056429910932732e+10 1.130980375045180702e+10
5.785000000000000211e-03 7.006400000000000128e-02 7.006400000000000128e-02 1.438830875589676476e+10 8.577704893563489914e+09 1.126119252253684044e+10 1.126070876453538322e+10
5.785000000000000211e-03 7.006400000000000128e-02 7.506100000000000272e-02 1.485312758827288055e+10 9.042523725939636230e+09 9.273854319384342194e+09 9.273486389430694580e+09
5.785000000000000211e-03 7.006400000000000128e-02 8.005600000000000216e-02 1.241180102030991554e+10 6.601197157976616859e+09 1.039784490554920769e+10 1.039824712158149910e+10
5.785000000000000211e-03 7.506100000000000272e-02 7.506100000000000272e-02 1.421922619588570976e+10 8.408622333552451134e+09 1.092613921270318031e+10 1.092586061901706123e+10
5.785000000000000211e-03 7.506100000000000272e-02 8.005600000000000216e-02 1.440887032873306274e+10 8.598266466399776459e+09 9.043648626222888947e+09 9.043081772896715164e+09
5.785000000000000211e-03 8.005600000000000216e-02 8.005600000000000216e-02 1.396809088990654945e+10 8.157487027573278427e+09 1.090460217843495560e+10 1.090384362034672737e+10
1.042599999999999950e-02 1.042599999999999950e-02 1.042599999999999950e-02 1.353733698489888000e+10 7.726733122565605164e+09 4.157163618021882629e+10 4.157230094322514343e+10
1.042599999999999950e-02 1.042599999999999950e-02 1.528299999999999971e-02 1.414843854055175972e+10 8.337834678218459129e+09 2.124607376329459381e+10 2.124602517872858810e+10
